cabang,sku,dataset_label,n_train,zero_ratio,zero_bucket,qty_median,scale_bucket,qty_mean,qty_std,qty_max,spike_ratio,adf_level_p,adf_diff1_p,acf_lag1,acf_lag2,acf_lag3,acf_lag6,acf_lag12,seasonal_flag,sarimax_d_sug,sarimax_D_sug,sarimax_family,lgbm_size_bucket,lgbm_max_depth_sug,lgbm_num_leaves_sug,lgbm_min_data_in_leaf_sug,tft_use,tft_encoder_length_sug,tft_hidden_size_sug
13I,BUVW200CSW,selected15,41,0.0,dense,1500.0,high,1680.878048780488,785.1310780730167,4260.0,0.07317073170731707,0.004925865134479397,0.0015654682720868875,-0.02705936155087728,0.15094655607787777,0.13115779865533275,0.18120512338459058,0.14004311480550122,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
13I,BUVW500CSB,selected15,41,0.0,dense,1843.0,high,1958.7073170731708,797.9873508991994,4428.0,0.024390243902439025,8.556093948257172e-10,1.9205767288582173e-15,-0.12435293927145916,0.1923820640307537,0.1627483110154196,0.210588121265888,0.16622216907690437,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
13I,BUVW500CSW,selected15,41,0.0,dense,2680.0,high,2733.878048780488,1223.0318719297945,5982.0,0.0,4.948400702519781e-09,4.399992760434506e-06,-0.07408895311687573,0.13894975884017538,0.1718600274102359,0.1991962991151261,0.09171628724380469,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
13I,CFGH001K711,selected15,41,0.0,dense,1882.0,high,2634.9268292682927,1858.51773451646,7363.0,0.04878048780487805,6.174830086829182e-12,6.46343709158366e-10,-0.47754656441831156,-0.06583266876276124,0.2853092673026732,-0.06761700626936615,0.2715584312920697,0,0,0,mixed,small,6,16,10,1,24,32
13I,CFGH001K724,selected15,41,0.0,dense,1984.0,high,2269.512195121951,1499.5727411824878,5095.0,0.0,6.888396322845575e-16,1.8512873142426023e-09,-0.5177821980023875,-0.11031299021664347,0.3392586439835374,0.05962046791261784,0.30009849977100994,1,0,1,AR_dominant,small,6,16,10,1,24,32
13I,DOPQ001K002,selected15,41,0.0,dense,3191.0,high,4667.073170731707,3111.994701073926,11353.0,0.0,3.903936469576335e-14,4.433025541196647e-18,-0.32647866317041146,0.023019096240023254,0.16340159925829195,-0.12409103991566862,0.09828173434154595,0,0,0,mixed,small,6,16,10,1,24,32
13I,DOPQ001K009,selected15,41,0.0,dense,2083.0,high,2712.1463414634145,1586.5099678378263,6116.0,0.024390243902439025,1.5391601563483805e-14,7.072084240033446e-16,-0.3445088749808751,0.13630992757297958,0.09554707130888268,0.06978821098288358,0.13583711828120065,0,0,0,mixed,small,6,16,10,1,24,32
13I,DOPQ004K002,selected15,41,0.0,dense,1061.0,high,1569.341463414634,1073.2725564775265,4040.0,0.04878048780487805,6.4157134523305345e-18,4.4239748182437335e-07,-0.4567534150037313,0.05201420868662784,0.021210672790993666,-0.10767803503910796,0.2733077403580698,0,0,0,mixed,small,6,16,10,1,24,32
13I,DOPQ004K009,selected15,41,0.0,dense,994.0,high,1224.9512195121952,669.8724487251103,2712.0,0.04878048780487805,1.2429650611385474e-16,1.952798665977918e-06,-0.41566480343368784,0.11170586599900055,0.01507815148631024,-0.035267854565419324,0.14560797373545478,0,0,0,mixed,small,6,16,10,1,24,32
13I,FIJK250C,selected15,41,0.0,dense,1352.0,high,1373.4146341463415,427.5242084145503,2592.0,0.024390243902439025,2.1325951636665636e-10,3.126989474960876e-07,-0.16882912307516285,-0.05393940206115072,0.2805594249418232,0.22820629909486595,0.14553992570177116,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
14A,BBCD005KSW,selected15,41,0.0,dense,1272.0,high,1666.7073170731708,896.2299438175015,4158.0,0.0975609756097561,6.600195164745639e-07,4.4132504278650906e-10,0.06658079332586526,0.1340665356653033,-0.09985885470613583,0.04063469255976358,0.32119868947174646,1,0,1,MA_or_low_AR,small,6,16,10,1,24,32
14A,BUVW001KSB,selected15,41,0.0,dense,1612.0,high,1846.8292682926829,757.4167248760428,3400.0,0.0,8.420041293664227e-13,1.2455287634134245e-05,-0.27119059628018705,0.2748452871808914,-0.1401135190601467,0.20606677309995605,0.07702241544857144,0,0,0,mixed,small,6,16,10,1,24,32
14A,BUVW001KSW,selected15,41,0.0,dense,3763.0,high,4218.048780487805,1598.9555802338525,7536.0,0.0,0.007058304853241421,4.3791900475834837e-10,-0.2754718481224386,0.34716596806402583,-0.18142176502638097,0.11093972855223974,0.07226854843886042,0,0,0,mixed,small,6,16,10,1,24,32
14A,BUVW050CSB,selected15,41,0.0,dense,972.0,high,960.2926829268292,292.86500677807504,1644.0,0.0,2.5134425453578917e-18,2.00209689706381e-08,-0.4628438944889192,0.2249196899538834,0.05019115708589089,0.06679182089970824,-0.14567137240989866,0,0,0,mixed,small,6,16,10,1,24,32
