area,cabang,sku,periode,qty,event_flag,event_flag_lag1,holiday_count,holiday_count_lag1,rainfall_lag1,is_train,is_test,imputed,spike_flag,sample_weight,month,year,qtr
1A,02A,BUVW001KSBM,2022-10-01,626.0,0,1.0,1,0.0,0.0,1,0,0,0,1.0,10,2022,4
1A,02A,BUVW001KSBM,2022-11-01,562.0,1,0.0,0,1.0,0.0,1,0,0,0,1.0,11,2022,4
1A,02A,BUVW001KSBM,2022-12-01,628.0,0,1.0,1,0.0,0.0,1,0,0,0,1.0,12,2022,4
1A,02A,BUVW001KSBM,2023-01-01,410.0,0,0.0,3,1.0,0.0,1,0,0,0,1.0,1,2023,1
1A,02A,BUVW001KSBM,2023-02-01,338.0,0,0.0,1,3.0,0.0,1,0,0,0,1.0,2,2023,1
1A,02A,BUVW001KSBM,2023-03-01,894.0,1,0.0,2,1.0,0.0,1,0,0,0,1.0,3,2023,1
1A,02A,BUVW001KSBM,2023-04-01,520.0,0,1.0,8,2.0,0.0,1,0,0,0,1.0,4,2023,2
1A,02A,BUVW001KSBM,2023-05-01,637.0,0,0.0,2,8.0,0.0,1,0,0,0,1.0,5,2023,2
1A,02A,BUVW001KSBM,2023-06-01,696.0,1,0.0,6,2.0,0.0,1,0,0,0,1.0,6,2023,2
1A,02A,BUVW001KSBM,2023-07-01,360.0,0,1.0,1,6.0,0.0,1,0,0,0,1.0,7,2023,3
1A,02A,BUVW001KSBM,2023-08-01,227.0,0,0.0,1,1.0,0.0,1,0,0,0,1.0,8,2023,3
1A,02A,BUVW001KSBM,2023-09-01,660.0,1,0.0,1,1.0,0.0,1,0,0,0,1.0,9,2023,3
1A,02A,BUVW001KSBM,2023-10-01,775.0,0,1.0,0,1.0,0.0,1,0,0,0,1.0,10,2023,4
1A,02A,BUVW001KSBM,2023-11-01,532.0,0,0.0,0,0.0,0.0,1,0,0,0,1.0,11,2023,4
1A,02A,BUVW001KSBM,2023-12-01,661.0,0,0.0,2,0.0,0.0,1,0,0,0,1.0,12,2023,4
1A,02A,BUVW001KSBM,2024-01-01,636.0,0,0.0,1,2.0,0.0,1,0,0,0,1.0,1,2024,1
1A,02A,BUVW001KSBM,2024-02-01,446.0,0,0.0,3,1.0,0.0,1,0,0,0,1.0,2,2024,1
1A,02A,BUVW001KSBM,2024-03-01,1459.0,1,0.0,4,3.0,0.0,1,0,0,1,0.8,3,2024,1
1A,02A,BUVW001KSBM,2024-04-01,374.0,0,1.0,6,4.0,0.0,1,0,0,0,1.0,4,2024,2
1A,02A,BUVW001KSBM,2024-05-01,739.0,0,0.0,5,6.0,0.0,1,0,0,0,1.0,5,2024,2
1A,02A,BUVW001KSW,2021-01-01,3135.0,0,,1,,0.0,1,0,0,0,1.0,1,2021,1
1A,02A,BUVW001KSW,2021-02-01,4434.0,0,0.0,1,1.0,0.0,1,0,0,0,1.0,2,2021,1
1A,02A,BUVW001KSW,2021-03-01,7350.0,0,0.0,4,1.0,0.0,1,0,0,0,1.0,3,2021,1
1A,02A,BUVW001KSW,2021-04-01,3338.0,0,0.0,3,4.0,0.0,1,0,0,0,1.0,4,2021,2
1A,02A,BUVW001KSW,2021-05-01,3464.0,0,0.0,5,3.0,0.0,1,0,0,0,1.0,5,2021,2
1A,02A,BUVW001KSW,2021-06-01,6017.0,1,0.0,1,5.0,0.0,1,0,0,0,1.0,6,2021,2
1A,02A,BUVW001KSW,2021-07-01,2246.0,0,1.0,1,1.0,0.0,1,0,0,0,1.0,7,2021,3
1A,02A,BUVW001KSW,2021-08-01,3508.0,0,0.0,2,1.0,0.0,1,0,0,0,1.0,8,2021,3
1A,02A,BUVW001KSW,2021-09-01,7208.0,0,0.0,0,2.0,0.0,1,0,0,0,1.0,9,2021,3
1A,02A,BUVW001KSW,2021-10-01,2425.0,0,0.0,1,0.0,0.0,1,0,0,0,1.0,10,2021,4
1A,02A,BUVW001KSW,2021-11-01,8486.0,1,0.0,0,1.0,0.0,1,0,0,1,0.8,11,2021,4
1A,02A,BUVW001KSW,2021-12-01,2904.0,0,1.0,1,0.0,0.0,1,0,0,0,1.0,12,2021,4
1A,02A,BUVW001KSW,2022-01-01,1877.0,0,0.0,1,1.0,0.0,1,0,0,0,1.0,1,2022,1
1A,02A,BUVW001KSW,2022-02-01,4530.0,0,0.0,2,1.0,0.0,1,0,0,0,1.0,2,2022,1
1A,02A,BUVW001KSW,2022-03-01,5007.0,1,0.0,1,2.0,0.0,1,0,0,0,1.0,3,2022,1
