cabang,sku,feature,corr
14A,DOPQ001K007,holiday_count_lag1,-0.12140248993287071
14A,DOPQ001K007,rainfall_lag1,
14A,DOPQ001K009,event_flag,0.20261673971474775
14A,DOPQ001K009,event_flag_lag1,0.09224663450180695
14A,DOPQ001K009,holiday_count,0.08298591125112564
14A,DOPQ001K009,holiday_count_lag1,0.048861748865961514
14A,DOPQ001K009,rainfall_lag1,
14A,DOPQ001K010,event_flag,0.18433785160866714
14A,DOPQ001K010,event_flag_lag1,0.05944638366177419
14A,DOPQ001K010,holiday_count,-0.0067062572466015475
14A,DOPQ001K010,holiday_count_lag1,0.02949359200451566
14A,DOPQ001K010,rainfall_lag1,
14A,DOPQ004K009,event_flag,0.28688532567902403
14A,DOPQ004K009,event_flag_lag1,0.09508291060370694
14A,DOPQ004K009,holiday_count,-0.03198401102672687
14A,DOPQ004K009,holiday_count_lag1,0.010565955836580236
14A,DOPQ004K009,rainfall_lag1,
14A,FIJK250C,event_flag,0.2343273034524874
14A,FIJK250C,event_flag_lag1,-0.11848882787971643
14A,FIJK250C,holiday_count,-0.25605873673815616
14A,FIJK250C,holiday_count_lag1,0.1437294962218435
14A,FIJK250C,rainfall_lag1,
16C,ATUV005KSW,event_flag,0.35636852806512326
16C,ATUV005KSW,event_flag_lag1,-0.23278817241847685
16C,ATUV005KSW,holiday_count,-0.30346371294224167
16C,ATUV005KSW,holiday_count_lag1,-0.05068544658924512
16C,ATUV005KSW,rainfall_lag1,0.081782121993224
16C,BKLM001KHAR,event_flag,0.5434232548253565
16C,BKLM001KHAR,event_flag_lag1,-0.25436934804904987
16C,BKLM001KHAR,holiday_count,-0.038219469893545265
16C,BKLM001KHAR,holiday_count_lag1,-0.128585442107426
16C,BKLM001KHAR,rainfall_lag1,0.36591587862161706
16C,BKLM001KPOX,event_flag,0.5434232548253565
16C,BKLM001KPOX,event_flag_lag1,-0.25436934804904987
16C,BKLM001KPOX,holiday_count,-0.038219469893545265
16C,BKLM001KPOX,holiday_count_lag1,-0.128585442107426
16C,BKLM001KPOX,rainfall_lag1,0.36591587862161706
16C,BKLM200CHAR,event_flag,0.5230096730428863
16C,BKLM200CHAR,event_flag_lag1,-0.241879219083409
16C,BKLM200CHAR,holiday_count,-0.03612532044188345
16C,BKLM200CHAR,holiday_count_lag1,-0.11639999369975881
16C,BKLM200CHAR,rainfall_lag1,0.40174639371407117
16C,BKLM200CPOX,event_flag,0.5230096730428863
16C,BKLM200CPOX,event_flag_lag1,-0.241879219083409
16C,BKLM200CPOX,holiday_count,-0.03612532044188345
16C,BKLM200CPOX,holiday_count_lag1,-0.11639999369975881
16C,BKLM200CPOX,rainfall_lag1,0.40174639371407117
16C,BNOP400CPOX,event_flag,0.5507668500795743
16C,BNOP400CPOX,event_flag_lag1,-0.2802196585673186
16C,BNOP400CPOX,holiday_count,-0.11289905418508787
16C,BNOP400CPOX,holiday_count_lag1,0.21713721976236658
16C,BNOP400CPOX,rainfall_lag1,-0.09289510208436887
16C,BUVW001KSB,event_flag,0.5724629308178026
16C,BUVW001KSB,event_flag_lag1,-0.29411858388847045
16C,BUVW001KSB,holiday_count,-0.07225502321854942
16C,BUVW001KSB,holiday_count_lag1,-0.04862149185171175
16C,BUVW001KSB,rainfall_lag1,0.3976067149672385
16C,BUVW001KSW,event_flag,0.6275278711022795
16C,BUVW001KSW,event_flag_lag1,-0.17379190453797558
16C,BUVW001KSW,holiday_count,0.013751046245127881
16C,BUVW001KSW,holiday_count_lag1,0.0011118984461488516
16C,BUVW001KSW,rainfall_lag1,0.38708810006282907
16C,CFGH001K711,event_flag,0.5671792251494088
16C,CFGH001K711,event_flag_lag1,-0.32876439391555584
16C,CFGH001K711,holiday_count,-0.14656255926436854
16C,CFGH001K711,holiday_count_lag1,0.08409150660035089
