cabang,sku,n_train,n_zero,zero_ratio,imputed_ratio,spike_ratio,qty_mean,qty_median,qty_std,qty_min,qty_max,scale_bucket,zero_bucket
13I,BBCD005K893,41.0,0.0,0.0,0.0,0.024390243902439025,35.19512195121951,30.0,15.04529745833415,10.0,78.0,medium,dense
13I,BBCD005K900,41.0,0.0,0.0,0.0,0.04878048780487805,24.0,24.0,11.386395390991831,8.0,58.0,medium,dense
13I,BBCD005KA40553,39.0,26.0,0.6666666666666666,0.6666666666666666,0.10256410256410256,1.4615384615384615,0.0,2.6242407808951826,0.0,10.0,low,sparse
13I,BBCD005KA44195,41.0,14.0,0.34146341463414637,0.34146341463414637,0.0,3.1951219512195124,2.0,3.0267103610613453,0.0,10.0,low,semi_sparse
13I,BBCD005KA44504,40.0,19.0,0.475,0.475,0.0,2.975,2.0,3.4603060484179644,0.0,10.0,low,semi_sparse
13I,BBCD005KA44505,41.0,23.0,0.5609756097560976,0.5609756097560976,0.04878048780487805,1.7317073170731707,0.0,2.5595350187475696,0.0,10.0,low,sparse
13I,BBCD005KAT1,41.0,0.0,0.0,0.0,0.07317073170731707,27.682926829268293,23.0,17.28357460768785,4.0,72.0,medium,dense
13I,BBCD005KAT4,41.0,2.0,0.04878048780487805,0.04878048780487805,0.07317073170731707,14.75609756097561,11.0,12.3830135423589,0.0,55.0,medium,dense
13I,BBCD005KAT5,41.0,1.0,0.024390243902439025,0.024390243902439025,0.0,19.097560975609756,16.0,10.809266575602576,0.0,46.0,medium,dense
13I,BBCD005KBA,41.0,0.0,0.0,0.0,0.04878048780487805,430.5365853658537,364.0,226.75318052465943,98.0,979.0,high,dense
13I,BBCD005KBB,41.0,0.0,0.0,0.0,0.024390243902439025,186.82926829268294,156.0,82.57781252825252,78.0,425.0,high,dense
13I,BBCD005KBC,41.0,0.0,0.0,0.0,0.0,101.2439024390244,91.0,57.753259859424766,24.0,239.0,high,dense
13I,BBCD005KMW,41.0,0.0,0.0,0.0,0.0,42.31707317073171,38.0,20.992187861666828,4.0,88.0,medium,dense
13I,BBCD005KPS8,41.0,9.0,0.21951219512195122,0.21951219512195122,0.024390243902439025,8.121951219512194,8.0,6.66781494176023,0.0,26.0,medium,semi_sparse
13I,BBCD005KSW,41.0,0.0,0.0,0.0,0.0,1401.560975609756,1343.0,478.5427383620239,714.0,2715.0,high,dense
13I,BBCD025KP040,41.0,1.0,0.024390243902439025,0.024390243902439025,0.0,7.7317073170731705,7.0,4.8735222901096,0.0,19.0,medium,dense
13I,BBCD025KP050,41.0,7.0,0.17073170731707318,0.17073170731707318,0.024390243902439025,3.292682926829268,3.0,3.002031832268142,0.0,13.0,low,dense
13I,BBCD025KP093,39.0,14.0,0.358974358974359,0.358974358974359,0.0,1.1538461538461537,1.0,1.328601590483324,0.0,5.0,low,semi_sparse
13I,BBCD025KP246,40.0,18.0,0.45,0.425,0.025,1.5,1.0,2.100061049173669,0.0,11.0,low,semi_sparse
13I,BBCD025KP260,41.0,24.0,0.5853658536585366,0.5853658536585366,0.0,0.8048780487804879,0.0,1.1666085932120067,0.0,5.0,low,sparse
13I,BBCD025KP522,41.0,21.0,0.5121951219512195,0.5121951219512195,0.04878048780487805,1.024390243902439,0.0,1.4575288140899443,0.0,6.0,low,sparse
13I,BBCD025KP601,41.0,1.0,0.024390243902439025,0.024390243902439025,0.12195121951219512,5.0,4.0,4.460941604639093,0.0,19.0,low,dense
13I,BBCD025KP610,41.0,24.0,0.5853658536585366,0.5609756097560976,0.024390243902439025,0.8292682926829268,0.0,1.3019684908704636,0.0,5.0,low,sparse
13I,BBCD025KP620,41.0,9.0,0.21951219512195122,0.21951219512195122,0.024390243902439025,2.2195121951219514,1.0,2.8152459494860413,0.0,16.0,low,semi_sparse
13I,BBCD025KP670,41.0,1.0,0.024390243902439025,0.024390243902439025,0.07317073170731707,5.219512195121951,4.0,4.162404323957196,0.0,18.0,low,dense
13I,BBCD025KP675,41.0,16.0,0.3902439024390244,0.3902439024390244,0.024390243902439025,1.3658536585365855,1.0,1.5930489251899267,0.0,7.0,low,semi_sparse
