cabang,sku,n_months,nonzero_months,total_qty,qty_12m,qty_6m,has_may24,zero_ratio_train,n_train,last_nz,months_since_last_nz,alive_recent,eligible_model
23A,BFGH005KBC,20,20,1065.0,721.0,389.0,False,0.0,20.0,2024-04-01,1,1,0
23A,BFGH005KPROP13005,15,2,6.0,2.0,2.0,False,0.8666666666666667,15.0,2023-12-01,5,0,0
23A,BFGH005KSB,19,17,276.0,212.0,123.0,False,0.10526315789473684,19.0,2024-04-01,1,1,0
23A,BFGH005KSW,20,20,3054.0,1969.0,1192.0,False,0.0,20.0,2024-04-01,1,1,0
23A,BFGH025KP040,14,6,44.0,42.0,28.0,False,0.5714285714285714,14.0,2024-04-01,1,1,0
23A,BFGH025KP601,14,7,82.0,21.0,21.0,False,0.5,14.0,2024-02-01,3,1,0
23A,BFGH025KP602,13,4,12.0,11.0,8.0,False,0.6923076923076923,13.0,2023-10-01,7,0,0
23A,BFGH025KP620,15,4,9.0,7.0,6.0,False,0.7333333333333333,15.0,2023-12-01,5,0,0
23A,BFGH025KP670,3,2,6.0,6.0,6.0,False,0.3333333333333333,3.0,2024-02-01,3,1,0
23A,BFGH025KP700,18,9,34.0,29.0,27.0,False,0.5,18.0,2024-02-01,3,1,0
23A,BFGH025KP710,14,3,3.0,1.0,1.0,False,0.7857142857142857,14.0,2023-11-01,6,0,0
23A,BFGH025KP712,13,4,12.0,10.0,9.0,False,0.6923076923076923,13.0,2023-10-01,7,0,0
23A,BFGH025KP720,18,5,8.0,6.0,5.0,False,0.7222222222222222,18.0,2024-03-01,2,1,0
23A,BFGH025KP725,9,2,4.0,4.0,2.0,False,0.7777777777777778,9.0,2023-09-01,8,0,0
23A,BFGH025KP735,10,3,69.0,69.0,9.0,False,0.7,10.0,2023-11-01,6,0,0
23A,BFGH025KP745,11,4,4.0,4.0,3.0,False,0.6363636363636364,11.0,2023-10-01,7,0,0
23A,BFGH025KP752,10,3,5.0,5.0,3.0,False,0.7,10.0,2023-08-01,9,0,0
23A,BFGH025KP755,9,4,82.0,82.0,22.0,False,0.5555555555555556,9.0,2023-10-01,7,0,0
23A,BFGH025KP765,7,3,4.0,4.0,3.0,False,0.5714285714285714,7.0,2023-12-01,5,0,0
23A,BFGH025KP770,14,5,21.0,20.0,20.0,False,0.6428571428571429,14.0,2023-12-01,5,0,0
23A,BFGH025KP771,18,6,13.0,12.0,8.0,False,0.6666666666666666,18.0,2024-03-01,2,1,0
23A,BFGH025KP831,10,4,9.0,9.0,8.0,False,0.6,10.0,2024-03-01,2,1,0
23A,BFGH025KP888B18006,1,1,3.0,3.0,3.0,False,0.0,1.0,2023-11-01,6,0,0
23A,BFGH025KP888G9001,1,1,1.0,1.0,1.0,False,0.0,1.0,2024-03-01,2,1,0
23A,BFGH025KP888G9004,1,1,1.0,1.0,1.0,False,0.0,1.0,2024-03-01,2,1,0
23A,BFGH025KP888N24006,1,1,10.0,10.0,10.0,False,0.0,1.0,2023-10-01,7,0,0
23A,BFGH025KP888N25004,1,1,4.0,4.0,4.0,False,0.0,1.0,2023-10-01,7,0,0
23A,BFGH025KP888Y18004,1,1,2.0,2.0,2.0,False,0.0,1.0,2023-10-01,7,0,0
23A,BFGH025KP901,16,7,17.0,9.0,7.0,False,0.5625,16.0,2024-02-01,3,1,0
23A,BFGH025KP902,15,2,3.0,2.0,2.0,False,0.8666666666666667,15.0,2024-02-01,3,1,0
23A,BFGH025KP903,15,9,38.0,21.0,12.0,False,0.4,15.0,2024-01-01,4,0,0
23A,BFGH025KP905,1,1,9.0,9.0,9.0,False,0.0,1.0,2023-12-01,5,0,0
23A,BFGH025KP906,8,2,2.0,2.0,1.0,False,0.75,8.0,2024-02-01,3,1,0
23A,BFGH025KP907,1,1,1.0,1.0,1.0,False,0.0,1.0,2024-01-01,4,0,0
23A,BFGH025KP910,13,4,7.0,6.0,5.0,False,0.6923076923076923,13.0,2023-10-01,7,0,0
23A,BFGH025KP911,3,2,3.0,3.0,3.0,False,0.3333333333333333,3.0,2022-12-01,17,0,0
23A,BFGH025KP912,1,1,2.0,2.0,2.0,False,0.0,1.0,2024-03-01,2,1,0
23A,BFGH025KP913,13,5,6.0,4.0,1.0,False,0.6153846153846154,13.0,2024-02-01,3,1,0
23A,BFGH025KP915,1,1,1.0,1.0,1.0,False,0.0,1.0,2024-02-01,3,1,0
23A,BFGH025KP916,17,11,25.0,18.0,15.0,False,0.35294117647058826,17.0,2024-02-01,3,1,0
23A,BFGH025KP917,16,8,12.0,8.0,6.0,False,0.5,16.0,2024-02-01,3,1,0
23A,BFGH025KP918,17,9,17.0,12.0,5.0,False,0.47058823529411764,17.0,2024-04-01,1,1,0
23A,BFGH025KP919,15,6,20.0,17.0,17.0,False,0.6,15.0,2024-02-01,3,1,0
23A,BFGH025KPBA,20,20,514.0,326.0,184.0,False,0.0,20.0,2024-04-01,1,1,0
23A,BFGH025KPBB,20,20,210.0,130.0,72.0,False,0.0,20.0,2024-04-01,1,1,0
23A,BFGH025KPBC,20,20,171.0,119.0,61.0,False,0.0,20.0,2024-04-01,1,1,0
23A,BFGH025KPPRON16002,1,1,2.0,2.0,2.0,False,0.0,1.0,2023-01-01,16,0,0
23A,BFGH025KPSB,16,3,9.0,8.0,8.0,False,0.8125,16.0,2024-02-01,3,1,0
23A,BFGH025KPSW,20,19,597.0,493.0,336.0,False,0.05,20.0,2024-04-01,1,1,0
23A,BGHI001K001,32,9,67.0,39.0,12.0,False,0.71875,32.0,2024-02-01,3,1,0
23A,BGHI001K002,40,34,582.0,114.0,51.0,False,0.15,40.0,2024-04-01,1,1,0
23A,BGHI001K003,15,4,30.0,24.0,6.0,False,0.7333333333333333,15.0,2022-10-01,19,0,0
23A,BGHI001K007,40,40,1462.0,384.0,69.0,False,0.0,40.0,2024-04-01,1,1,0
23A,BGHI001K010,26,7,59.0,30.0,18.0,False,0.7307692307692307,26.0,2023-09-01,8,0,0
23A,BGHI001K020,35,16,98.0,27.0,12.0,False,0.5428571428571428,35.0,2024-02-01,3,1,0
